geo_aggregation_level,from,to,weight
1,111000,238130,0.308536585365854
1,112000,238130,0.315294117647059
1,113310,238130,0.307242136064375
1,114210,238130,0.305555555555556
1,115112,238130,0.327096327096327
1,115115,238130,0.311666666666667
1,115210,238130,0.352831362787803
1,115310,238130,0.318281938325991
1,212321,238130,0.359030837004405
1,221122,238130,0.275235531628533
1,221310,238130,0.287606433301798
1,236115,238130,0.400773195876289
1,236117,238130,0.41231732776618
1,236118,238130,0.403271692745377
1,236220,238130,0.352432432432432
1,237110,238130,0.363942712721146
1,237130,238130,0.320484581497797
1,237210,238130,0.256607929515419
1,237310,238130,0.319191919191919
1,237990,238130,0.325581395348837
1,238110,238130,0.431763766959298
1,238120,238130,0.257709251101322
1,111000,238140,0.310365853658537
1,112000,238140,0.319411764705882
1,113310,238140,0.375274323335772
1,114210,238140,0.327552986512524
1,115112,238140,0.315315315315315
1,115115,238140,0.322777777777778
1,115210,238140,0.367766023646546
1,115310,238140,0.316955684007707
1,212321,238140,0.336223506743738
1,221122,238140,0.312247644683715
1,221310,238140,0.343424787133396
1,236115,238140,0.420747422680412
1,236117,238140,0.403660886319846
1,236118,238140,0.46728307254623
1,236220,238140,0.326589595375723
1,237110,238140,0.396798652064027
1,237130,238140,0.286127167630058
1,237210,238140,0.240847784200385
1,237310,238140,0.345857418111753
1,237990,238140,0.33140655105973
1,238110,238140,0.447725458898643
1,238120,238140,0.261078998073218
1,238130,238140,0.433526011560694
1,221210,238150,0.249262536873156
1,236117,238150,0.259916492693111
1,236220,238150,0.255135135135135
1,237110,238150,0.249368155012637
1,237210,238150,0.256692913385827
1,237310,238150,0.256565656565657
1,238110,238150,0.241021548284118
1,238120,238150,0.302290076335878
1,238140,238150,0.265895953757225
1,111000,238160,0.25
1,112000,238160,0.244117647058824
1,113110,238160,0.243080625752106
1,113310,238160,0.256035113386979
1,114210,238160,0.270576131687243
1,115112,238160,0.253638253638254
1,115210,238160,0.27940261356565
1,115310,238160,0.258888888888889
1,212321,238160,0.310544611819235
1,221122,238160,0.255047106325707
1,221310,238160,0.283822138126774
1,236115,238160,0.338273195876289
1,236117,238160,0.35490605427975
1,236118,238160,0.332147937411095
1,236220,238160,0.31027027027027
1,237110,238160,0.327716933445661
1,237130,238160,0.322834645669291
1,237210,238160,0.283995186522262
1,237310,238160,0.323232323232323
1,237990,238160,0.291754756871036
1,238110,238160,0.36073423782921
1,238120,238160,0.328519855595668
1,238130,238160,0.403083700440529
1,238140,238160,0.35645472061657
1,238150,238160,0.322503008423586
1,111000,238170,0.403658536585366
1,112000,238170,0.396470588235294
1,113310,238170,0.441111923920995
1,114210,238170,0.292622950819672
1,115112,238170,0.424809424809425
1,115115,238170,0.387222222222222
1,115210,238170,0.425637834474176
1,115310,238170,0.3
1,212321,238170,0.29672131147541
1,221122,238170,0.385598923283984
1,221310,238170,0.331967213114754
1,236115,238170,0.481958762886598
1,236117,238170,0.40655737704918
1,236118,238170,0.470128022759602
1,236220,238170,0.330327868852459
1,237110,238170,0.419672131147541
1,237130,238170,0.309016393442623
1,237310,238170,0.34672131147541
1,237990,238170,0.327868852459016
1,238110,238170,0.503591380686353
1,238120,238170,0.255737704918033
1,238130,238170,0.423770491803279
1,238140,238170,0.45
1,238160,238170,0.354098360655738
1,111000,238190,0.29390243902439
1,112000,238190,0.333529411764706
1,113110,238190,0.242603550295858
1,113310,238190,0.330651060716898
1,114210,238190,0.393491124260355
1,115112,238190,0.314622314622315
1,115115,238190,0.357222222222222
1,115210,238190,0.367143746110765
1,115310,238190,0.314595660749507
1,212321,238190,0.316568047337278
1,213112,238190,0.268244575936884
1,221122,238190,0.35464333781965
1,221310,238190,0.445600756859035
1,236115,238190,0.372422680412371
1,236117,238190,0.42603550295858
1,236118,238190,0.349217638691323
1,236220,238190,0.321499013806706
1,237110,238190,0.384161752316765
1,237130,238190,0.333333333333333
1,237210,238190,0.263313609467456
1,237310,238190,0.330374753451677
1,237990,238190,0.359960552268245
1,238110,238190,0.377494014365523
1,238120,238190,0.28698224852071
1,238130,238190,0.351084812623274
1,238140,238190,0.360308285163777
1,238150,238190,0.277120315581854
1,238160,238190,0.338264299802761
1,238170,238190,0.352459016393443
1,111000,238210,0.259146341463415
1,112000,238210,0.264117647058824
1,113310,238210,0.267739575713241
1,114210,238210,0.284979423868313
1,115112,238210,0.261261261261261
1,115115,238210,0.26
1,115210,238210,0.291225886745489
1,115310,238210,0.277475516866159
1,212321,238210,0.328618063112078
1,221122,238210,0.28600269179004
1,221310,238210,0.316934720908231
1,236115,238210,0.348582474226804
1,236117,238210,0.419624217118998
1,236118,238210,0.340682788051209
1,236220,238210,0.364324324324324
1,237110,238210,0.353833192923336
1,237130,238210,0.368879216539717
1,237210,238210,0.264417845484222
