geo_aggregation_level	industry_code	industry_description	industry_ubiquity	industry_employment_share_nation	industry_complexity	industry_complexity_percentile
3	337122	Nonupholstered Wood Household Furniture Manufacturing	190	0.0001716282148869	-0.49982950975874	32.66
3	337126	Household Furniture (except Wood and Upholstered) Manufacturing	94	5.86148300315634e-05	0.195764804467746	63.53
3	337127	Institutional Furniture Manufacturing	104	0.000137421889629686	-0.670934707506772	25.9
3	337211	Wood Office Furniture Manufacturing	73	8.72281371559947e-05	-0.211046833996878	46.51
3	337212	Custom Architectural Woodwork and Millwork Manufacturing	186	0.000169545891212849	0.599518378484877	75.9
3	337214	Office Furniture (except Wood) Manufacturing	42	0.000108303776766091	0.250852597683268	66.07
3	337215	Showcase, Partition, Shelving, and Locker Manufacturing	126	0.000223864136032664	-0.337043678388735	40.06
3	337910	Mattress Manufacturing	95	0.000114493383499704	0.106107859718836	60.25
3	337920	Blind and Shade Manufacturing	69	5.21900297149309e-05	0.992078092177229	84.46
3	339112	Surgical and Medical Instrument Manufacturing	85	0.00081724033670451	1.07346625347002	85.52
3	339113	Surgical Appliance and Supplies Manufacturing	132	0.000588746902586558	0.189733920028942	63.42
3	339114	Dental Equipment and Supplies Manufacturing	57	9.77085926725015e-05	1.5275218915803	92.07
3	339115	Ophthalmic Goods Manufacturing	62	0.00013942390329978	0.521335146665598	74.31
3	339116	Dental Laboratories	176	0.000283849972560366	-0.167261188122946	48.63
3	339910	Jewelry and Silverware Manufacturing	113	0.000152531643231481	0.609184564463122	76.53
3	339920	Sporting and Athletic Goods Manufacturing	203	0.000285157878339109	-0.265937940175903	43.55
3	339930	Doll, Toy, and Game Manufacturing	116	8.06886082622794e-05	0.246136368745673	65.75
3	339940	Office Supplies (except Paper) Manufacturing	83	6.08749830000931e-05	0.00836441190200711	56.13
3	339950	Sign Manufacturing	275	0.000516404798307047	-0.578435616926354	30.34
3	339991	Gasket, Packing, and Sealing Device Manufacturing	108	0.000166270390337137	-0.281828841942015	42.28
3	339992	Musical Instrument Manufacturing	114	7.48087686867899e-05	0.673128271433417	77.91
3	339993	Fastener, Button, Needle, and Pin Manufacturing	45	2.99212129031743e-05	1.05164983395861	85.31
3	339994	Broom, Brush, and Mop Manufacturing	59	4.58283301156939e-05	-0.119849023950107	51.06
3	339995	Burial Casket Manufacturing	47	1.87753316395877e-05	-0.661727804848191	26.43
3	339999	All Other Miscellaneous Manufacturing	223	0.000458965936190581	-0.471917842624445	34.04
3	423110	Automobile and Other Motor Vehicle Merchant Wholesalers	288	0.000815582508765665	-0.938189907365613	16.49
3	423120	Motor Vehicle Supplies and New Parts Merchant Wholesalers	235	0.00105776879855844	-1.08135015468304	11.95
3	423130	Tire and Tube Merchant Wholesalers	182	0.000202203380679446	-0.491206103741262	33.19
3	423140	Motor Vehicle Parts (Used) Merchant Wholesalers	260	0.000135482976676988	-0.771085685065652	21.67
3	423210	Furniture Merchant Wholesalers	96	0.000296441433895195	0.665828646315295	77.7
3	423220	Home Furnishing Merchant Wholesalers	101	0.00036337982219411	0.228868825831665	65.01
3	423310	Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers	235	0.000669011015113632	-0.67243621660422	25.79
3	423320	Brick, Stone, and Related Construction Material Merchant Wholesalers	215	0.000392974058652599	-0.206075512970238	46.72
3	423330	Roofing, Siding, and Insulation Material Merchant Wholesalers	233	0.000272543471288864	0.0312727962802308	57.19
3	423390	Other Construction Material Merchant Wholesalers	198	0.000215334066326564	-0.331300029122348	40.38
3	423410	Photographic Equipment and Supplies Merchant Wholesalers	50	6.75062947554745e-05	1.32857000336183	89.32
3	423420	Office Equipment Merchant Wholesalers	149	0.000402335910542549	0.196316742849282	63.64
3	423430	Computer and Computer Peripheral Equipment and Software Merchant Wholesalers	53	0.00131644732130686	2.10238343722525	96.72
3	423440	Other Commercial Equipment Merchant Wholesalers	140	0.000343181856198697	0.153114279830265	62.37
3	423450	Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers	92	0.00183227847672849	0.734289555053518	79.49
3	423460	Ophthalmic Goods Merchant Wholesalers	68	0.000130016159978996	0.847414565753281	80.97
3	423490	Other Professional Equipment and Supplies Merchant Wholesalers	106	0.000220927084459347	0.922513018561503	83.09
3	423510	Metal Service Centers and Other Metal Merchant Wholesalers	226	0.000770247511531427	-1.23107175282539	8.35
3	423520	Coal and Other Mineral and Ore Merchant Wholesalers	76	1.54080479022098e-05	-0.0522978648245251	53.28
3	423610	Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers	238	0.00115575273981594	-0.754823448082061	22.52
3	423620	Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers	83	0.000207285856644211	0.705909294669396	78.96
3	423690	Other Electronic Parts and Equipment Merchant Wholesalers	71	0.000824238779906556	1.40815758359416	90.06
3	423710	Hardware Merchant Wholesalers	166	0.000542585859597324	-0.510017678870276	32.45
3	423720	Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers	285	0.000703148503224596	-0.415419167251423	36.79
3	423730	Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers	158	0.000490326992736144	0.029040537141809	56.77
3	423740	Refrigeration Equipment and Supplies Merchant Wholesalers	143	9.42380532157491e-05	0.0883372490363735	59.62
3	423810	Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers	324	0.000629165780292802	-0.846381180018388	19.24
3	423820	Farm and Garden Machinery and Equipment Merchant Wholesalers	481	0.000681160771426692	-1.83076005919878	0.85
3	423830	Industrial Machinery and Equipment Merchant Wholesalers	236	0.00201256869918514	-1.10932678522556	11.21
3	423840	Industrial Supplies Merchant Wholesalers	261	0.000628706865984471	-1.09120241448675	11.73
3	423850	Service Establishment Equipment and Supplies Merchant Wholesalers	250	0.000336103102992693	-0.777838244415606	21.35
